GEOIDFQ,NAME,GEOTYPE,YEAR,Number of sales,Median home sale price (2023 dollars),Median home sale price (year-of dollars),Median income (2023 dollars),Median income (year-of dollars),Median income MOE (year-of dollars),Mean income (2023 dollars),Mean income (year-of dollars),Mean income MOE (year-of dollars),Median sale price/income ratio (MSA med inc),Median sale price/income ratio (geography med inc)
0700000US390410577499999,Berkshire Township (Delaware),COUNTY-TOWNSHIP-REMAINDER,2019,68,491634,412500,,,,,,,6.137753507819126,
0700000US390410577499999,Berkshire Township (Delaware),COUNTY-TOWNSHIP-REMAINDER,2020,105,535678,455000,,,,,,,6.5445967521539625,
0700000US390410577499999,Berkshire Township (Delaware),COUNTY-TOWNSHIP-REMAINDER,2021,107,493086,438499,,,,,,,6.103912916382467,
0700000US390410577499999,Berkshire Township (Delaware),COUNTY-TOWNSHIP-REMAINDER,2022,128,577274,554450,,,,,,,7.3168639560816615,
0700000US390410577499999,Berkshire Township (Delaware),COUNTY-TOWNSHIP-REMAINDER,2023,111,530000,530000,,,,,,,6.848430029719602,
0700000US390410578899999,Berlin Township (Delaware),COUNTY-TOWNSHIP-REMAINDER,2012,83,408625,307900,,,,,,,5.733812547719697,
0700000US390410578899999,Berlin Township (Delaware),COUNTY-TOWNSHIP-REMAINDER,2013,96,389090,297475,,,,,,,5.500748904380629,
0700000US390410578899999,Berlin Township (Delaware),COUNTY-TOWNSHIP-REMAINDER,2014,84,405435,315000,,,,,,,5.587979634918664,
0700000US390410578899999,Berlin Township (Delaware),COUNTY-TOWNSHIP-REMAINDER,2015,102,425524,331000,,,,,,,5.688067088259554,
0700000US390410578899999,Berlin Township (Delaware),COUNTY-TOWNSHIP-REMAINDER,2016,108,450692,355000,,,,,,,5.887816366470959,
0700000US390410578899999,Berlin Township (Delaware),COUNTY-TOWNSHIP-REMAINDER,2017,114,447817,360250,,,,,,,5.649739665014742,
0700000US390410578899999,Berlin Township (Delaware),COUNTY-TOWNSHIP-REMAINDER,2018,85,473240,390000,,,,,,,6.088802847686256,
0700000US390410578899999,Berlin Township (Delaware),COUNTY-TOWNSHIP-REMAINDER,2019,122,479715,402500,,,,,,,5.988959483387147,
0700000US390410578899999,Berlin Township (Delaware),COUNTY-TOWNSHIP-REMAINDER,2020,136,555098,471495,,,,,,,6.7818563640809515,
0700000US390410578899999,Berlin Township (Delaware),COUNTY-TOWNSHIP-REMAINDER,2021,140,597478,531334,,,,,,,7.396184523726668,
0700000US390410578899999,Berlin Township (Delaware),COUNTY-TOWNSHIP-REMAINDER,2022,141,608977,584900,,,,,,,7.718700925082809,
0700000US390410578899999,Berlin Township (Delaware),COUNTY-TOWNSHIP-REMAINDER,2023,134,600000,600000,,,,,,,7.752939656286342,
0700000US390410942899999,Brown Township (Delaware),COUNTY-TOWNSHIP-REMAINDER,2012,12,142999,107750,,,,,,,2.0065550568911896,
0700000US390410942899999,Brown Township (Delaware),COUNTY-TOWNSHIP-REMAINDER,2013,8,,,,,,,,,,
0700000US390410942899999,Brown Township (Delaware),COUNTY-TOWNSHIP-REMAINDER,2014,13,164105,127500,,,,,,,2.261801280800412,
0700000US390410942899999,Brown Township (Delaware),COUNTY-TOWNSHIP-REMAINDER,2015,9,,,,,,,,,,
0700000US390410942899999,Brown Township (Delaware),COUNTY-TOWNSHIP-REMAINDER,2016,15,393562,310000,,,,,,,5.141473446777457,
0700000US390410942899999,Brown Township (Delaware),COUNTY-TOWNSHIP-REMAINDER,2017,10,435075,350000,,,,,,,5.488990653033059,
0700000US390410942899999,Brown Township (Delaware),COUNTY-TOWNSHIP-REMAINDER,2018,16,208711,172000,,,,,,,2.6853181789795793,
0700000US390410942899999,Brown Township (Delaware),COUNTY-TOWNSHIP-REMAINDER,2019,12,372450,312500,,,,,,,4.649813263499338,
0700000US390410942899999,Brown Township (Delaware),COUNTY-TOWNSHIP-REMAINDER,2020,11,302570,257000,,,,,,,3.696618385282568,
0700000US390410942899999,Brown Township (Delaware),COUNTY-TOWNSHIP-REMAINDER,2021,14,511641,455000,,,,,,,6.333607093639945,
0700000US390410942899999,Brown Township (Delaware),COUNTY-TOWNSHIP-REMAINDER,2022,13,317555,305000,,,,,,,4.02496799820526,
0700000US390410942899999,Brown Township (Delaware),COUNTY-TOWNSHIP-REMAINDER,2023,12,355000,355000,,,,,,,4.587155963302752,
0700000US390411814099999,Concord Township (Delaware),COUNTY-TOWNSHIP-REMAINDER,2012,153,402122,303000,,,,,,,5.642563176223021,
0700000US390411814099999,Concord Township (Delaware),COUNTY-TOWNSHIP-REMAINDER,2013,194,420715,321654,,,,,,,5.947844819615748,
0700000US390411814099999,Concord Township (Delaware),COUNTY-TOWNSHIP-REMAINDER,2014,180,428230,332710,,,,,,,5.902157137535258,
0700000US390411814099999,Concord Township (Delaware),COUNTY-TOWNSHIP-REMAINDER,2015,198,432916,336750,,,,,,,5.786886513610118,
0700000US390411814099999,Concord Township (Delaware),COUNTY-TOWNSHIP-REMAINDER,2016,226,444344,350000,,,,,,,5.804889375393903,
0700000US390411814099999,Concord Township (Delaware),COUNTY-TOWNSHIP-REMAINDER,2017,187,458694,369000,,,,,,,5.786964431340568,
0700000US390411814099999,Concord Township (Delaware),COUNTY-TOWNSHIP-REMAINDER,2018,231,472026,389000,,,,,,,6.073190532692188,
0700000US390411814099999,Concord Township (Delaware),COUNTY-TOWNSHIP-REMAINDER,2019,250,479417,402250,,,,,,,5.985239632776348,
0700000US390411814099999,Concord Township (Delaware),COUNTY-TOWNSHIP-REMAINDER,2020,280,506245,430000,,,,,,,6.185003524013635,
0700000US390411814099999,Concord Township (Delaware),COUNTY-TOWNSHIP-REMAINDER,2021,266,512687,455930,,,,,,,6.346552708139034,
0700000US390411814099999,Concord Township (Delaware),COUNTY-TOWNSHIP-REMAINDER,2022,180,535505,514332,,,,,,,6.787448698153794,
0700000US390411814099999,Concord Township (Delaware),COUNTY-TOWNSHIP-REMAINDER,2023,178,555250,555250,,,,,,,7.174699573588319,
0700000US390412144899999,Delaware Township (Delaware),COUNTY-TOWNSHIP-REMAINDER,2012,19,238884,180000,,,,,,,3.352017728449319,
0700000US390412144899999,Delaware Township (Delaware),COUNTY-TOWNSHIP-REMAINDER,2013,34,292659,223750,,,,,,,4.137465559644225,
0700000US390412144899999,Delaware Township (Delaware),COUNTY-TOWNSHIP-REMAINDER,2014,52,308903,240000,,,,,,,4.257508293271363,
0700000US390412144899999,Delaware Township (Delaware),COUNTY-TOWNSHIP-REMAINDER,2015,43,289125,224900,,,,,,,3.8647924113280174,
0700000US390412144899999,Delaware Township (Delaware),COUNTY-TOWNSHIP-REMAINDER,2016,36,374455,294950,,,,,,,4.891863203635519,
